? Cx Cy Cz C? C? C?
0 248.37 0 0 0 -2355.232759 0
10 265.19 61.332 0 275.994 -2514.732759 551.1
20 224.13 136.22 0 612.99 -2125.37069 661.56
30 149.03 238.76 0 1074.42 -1413.215517 451.37
40 134.36 319.42 0 1437.39 -1274.103448 212.51
50 96.8 380.5 0 1712.25 -917.9310345 -23.578
60 41.364 396.1 0 1782.45 -392.2448276 1168.3
70 16.477 372.96 0 1678.32 -156.2474138 2376.3
80 0.30412 376.5 0 1694.25 -2.883896552 3511.9
90 -3.723 390.01 0 1755.045 35.30431034 4610.4
100 -24.879 386.63 0 1739.835 235.9215517 4769.5
110 -61.281 393.76 0 1771.92 581.112931 5921.9
120 -108.5 408.66 0 1838.97 1028.87931 6542.8
130 -169.35 393.26 0 1769.67 1605.905172 6805.2
140 -206.63 276.93 0 1246.185 1959.422414 6751.5
150 -201.99 200.64 0 902.88 1915.422414 6190.1
160 -196.51 124.71 0 561.195 1863.456897 3758.8
170 -181.53 56.27 0 253.215 1721.405172 1905.6
180 -208.22 0 0 0 1974.5 0
190 -181.53 -56.27 0 -253.215 1721.405172 -1905.6
200 -196.51 -124.71 0 -561.195 1863.456897 -3758.8
210 -201.99 -200.64 0 -902.88 1915.422414 -6190.1
220 -206.63 -276.93 0 -1246.185 1959.422414 -6751.5
230 -169.35 -393.26 0 -1769.67 1605.905172 -6805.2
240 -108.5 -408.66 0 -1838.97 1028.87931 -6542.8
250 -61.281 -393.76 0 -1771.92 581.112931 -5921.9
260 -24.879 -386.63 0 -1739.835 235.9215517 -4769.5
270 -3.723 -390.01 0 -1755.045 35.30431034 -4610.4
280 0.30412 -376.5 0 -1694.25 -2.883896552 -3511.9
290 16.477 -372.96 0 -1678.32 -156.2474138 -2376.3
300 41.364 -396.1 0 -1782.45 -392.2448276 -1168.3
310 96.8 -380.5 0 -1712.25 -917.9310345 23.578
320 134.36 -319.42 0 -1437.39 -1274.103448 -212.51
330 149.03 -238.76 0 -1074.42 -1413.215517 -451.37
340 224.13 -136.22 0 -612.99 -2125.37069 -661.56
350 265.19 -61.332 0 -275.994 -2514.732759 -551.1
360 248.37 0 0 0 -2355.232759 0
